Latitude,Longitude,Pycnopodia_helianthoides logistic values
-2532997.409,2919764.236,8.8716333E-4
-1912769.288,-650680.6275,0.22413744
-1990549.377,-673614.3506,0.0017055913
-2096334.092,-529586.9854,0.040475946
-2287379.405,2383831.085,0.2628121
-2254093.975,196425.875,0.022138856
-2039016.231,-469256.4921,0.0038483473
-1869496.147,-735370.1832,0.59516585
-1856265.04,1345573.218,0.47915053
-3746436.224,3142758.643,0.574017
-2397457.609,2701371.056,0.6389711
-1915502.504,-560179.1181,0.15372828
-1883453.608,1256253.126,0.49497366
-1908629.436,1253338.087,0.2689795
-1915658.459,1248840.007,0.465026
-2174980.905,-290051.3974,4.4152295E-4
-1842916.803,1245463.129,0.6161925
-3481501.295,3045866.819,0.6346124
-1916263.934,-567488.8985,0.15372828
-1946240.571,-501787.264,0.74943703
-1861855.389,1210734.216,0.5543314
-1860106.238,1266229.107,0.5175141
-1869727.32,-761702.6865,0.16927774
-1889637.342,1230763.355,0.6583446
-1919690.228,-534915.4808,0.2622735
-2607812.336,3042679.435,0.6907273
-1870019.218,1242433.458,0.42643234
-2025485.185,-449293.1268,0.45769653
-2068635.675,927208.8224,0.0037918556
-2094976.01,871125.0167,0.4866496
-2236121.718,102980.8475,0.40771255
-4088893.95,3221301.593,0.49999702
-4025064.355,3157471.631,0.43295234
-1849921.614,1227593.601,0.49449962
-2283610.038,2267505.694,0.2886483
-1856043.551,1287718.277,0.36250913
-2122493.06,1645066.577,0.7306512
-3281531.821,3039777.094,0.5457091
-1897886.474,1240763.96,0.4503797
-2896307.942,3097805.967,0.3121343
-1854125.524,1219919.095,0.5816757
-1898900.645,1264661.856,0.61121076
-4202415.511,3198026.923,0.040117312
-2087792.966,1522699.832,0.68489
-2100004.783,763556.9757,0.7278493
-2231056.643,156985.9375,0.4863827
-1781359.105,-1156039.15,0.5262795
-2066326.885,1624918.418,0.6206366
-1889740.558,1378667.168,0.12840582
-2122349.46,-273401.4196,0.7381891
-3061085.299,3084587.701,0.68189925
-3935162.683,3148735.813,0.46315765
-1936591.829,-506089.7626,0.73639
-2265118.125,2222529.371,0.5076766
-1942725.709,1421262.666,0.63130665
-1988469.736,1306380.764,0.47116166
-2176367.366,-113439.0182,0.017408287
-2066719.726,-392828.4018,0.6379754
-1894705.574,1265718.772,0.61420894
-1909034.779,-543509.1018,0.28119892
-1950603.29,-556449.5092,0.071482435
-2169844.814,-150527.4991,0.63481814
-1877439.515,1357830.761,0.32200742
-2255892.192,2252906.555,0.6206354
-1989862.225,1207835.145,0.6874872
-1856369.047,1277243.428,0.46969792
-1910534.847,1260610.517,0.2689795
-2132063.881,-535436.932,0.0012471927
-1928915.818,1265977.03,0.23293525
-1858909.61,1345838.015,0.47915053
-1880718.316,-617155.3285,0.5912779
-2073243.397,-437459.3903,0.7596779
-2131660.071,809123.9307,0.652348
-2285809.978,2196654.172,0.2148905
-2389908.254,2750287.181,0.4420672
-3551706.501,3013022.555,0.46293864
-1858135.377,1239617.745,0.514659
-2272071.017,2424941.096,0.67542064
-3636985.14,3107521.339,0.6466089
-1897203.249,1369634.6,0.5464837
-2883912.457,3022301.262,0.25209066
-1858830.596,1285455.586,0.36250913
-3267625.318,3090488.847,0.079724595
-1864352.454,1347510.938,0.04040892
-3627611.352,3092092.596,0.682166
-2046703.69,984562.9272,0.37280038
-2169019.566,-140216.3062,0.63481814
-3355291.98,3060163.325,0.17681175
-3465524.815,3110576.276,0.51163536
-2132838.926,830693.2175,0.43725
-3021140.925,3059047.475,0.5519463
-4260715.869,3245302.398,0.57424945
-1864817.722,1230945.464,0.5287908
-3748277.083,3142678.198,0.574017
-3275146.47,3020192.955,0.70806634
-2110298.476,-418048.3703,0.44711852
-1865657.549,1332118.118,0.47071517
-1869591.38,1311342.419,0.6069068
-2494092.884,2845209.051,0.057288982
-3006114.188,3023159.066,0.47290137
-2056964.245,1451125.205,0.6948558
-4118314.22,3175914.406,0.08861737
-3077346.053,3032899.817,0.44403943
-3815302.671,3034109.449,0.0019251418
-2100402.912,768996.9662,0.7278493
-3715947.26,3009727.861,0.34590065
-1844884.663,1200181.588,0.535195
-2009135.967,-512499.1164,0.011565871
-3369249.747,2993615.411,0.6271577
-1820476.254,1265002.346,0.38227138
-3197403.087,2920590.028,0.52659225
-1869791.582,1225648.674,0.5965472
-1971243.821,-514932.6104,0.02179818
-1884243.449,1329279.994,0.58436716
-1901003.343,-654054.3324,0.25462884
-3578335.285,2931392.513,4.8868626E-4
-1838193.901,1315596.998,0.5695928
-1868717.362,1226008.591,0.5965472
-2152625.004,-176011.345,0.26997676
-2169888.052,-60163.00579,0.7447918
-1865888.393,1279509.319,0.3638689
-1864957.04,1260674.531,0.3922737
-1978452.148,-551446.3095,0.57086223
-2020964.453,-448298.0967,0.49102974
-3007605.471,3088025.744,0.2508496
-2090776.581,-425558.1054,0.38352212
-1847799.833,1206198.461,0.535195
-1884034.078,1387146.173,0.39161217
-1875495.274,1234995.729,0.5695589
-3793581.199,3058972.562,0.46066862
-2216405.638,2026478.052,0.7641297
-1905470.423,1259659.624,0.47625569
-1921984.672,1402448.051,0.28418702
-3221241.535,2929933.767,0.6540808
-3938904.966,3246276.588,0.024841122
