Raw value,Corresponding cumulative value,Corresponding Logistic value,Fractional area,Training omission,Test omission
4.07386E-4,44.510920058,0.095269309,0.195516459,0.452830189,0.482758621
4.09559E-4,44.756039556,0.095728785,0.193813848,0.452830189,0.482758621
4.1099E-4,45.659982666,0.096031089,0.187287174,0.452830189,0.482758621
4.14238E-4,45.783679226,0.096716598,0.186719637,0.467924528,0.482758621
4.16218E-4,46.280962484,0.097134137,0.183314415,0.467924528,0.482758621
4.17223E-4,46.823352582,0.0973458,0.179341657,0.467924528,0.482758621
4.19191E-4,47.032530814,0.097760107,0.178206583,0.513207547,0.482758621
4.20484E-4,47.410956456,0.098031972,0.175652667,0.532075472,0.517241379
4.22411E-4,47.537521929,0.098437079,0.174801362,0.532075472,0.517241379
4.23357E-4,47.791258356,0.098635789,0.173098751,0.532075472,0.517241379
4.28443E-4,48.21696481,0.099702536,0.170261067,0.532075472,0.517241379
4.3094E-4,48.260058773,0.100225353,0.169977299,0.532075472,0.517241379
4.33954E-4,49.431718899,0.100855631,0.162031782,0.532075472,0.517241379
4.36733E-4,49.649374703,0.10143599,0.160896708,0.550943396,0.517241379
4.38272E-4,49.780646149,0.101757204,0.160045403,0.550943396,0.517241379
4.38272E-4,50.21891844,0.101757204,0.15692395,0.550943396,0.517241379
4.38764E-4,50.262794797,0.101859652,0.15692395,0.558490566,0.517241379
4.44695E-4,50.571762114,0.103094777,0.154937571,0.558490566,0.517241379
4.48657E-4,50.750609154,0.103917718,0.153802497,0.558490566,0.517241379
4.54681E-4,51.568609335,0.105166346,0.148410897,0.558490566,0.517241379
4.55682E-4,52.433139556,0.105373373,0.143303065,0.573584906,0.551724138
4.57572E-4,52.570338011,0.105764183,0.142451759,0.573584906,0.551724138
4.60894E-4,52.754005393,0.106450298,0.141316686,0.577358491,0.551724138
4.6146E-4,53.261045102,0.106567206,0.138195233,0.588679245,0.586206897
4.64791E-4,53.53870275,0.10725382,0.136492622,0.588679245,0.586206897
4.69257E-4,54.570685022,0.108173035,0.129965948,0.588679245,0.586206897
4.7083E-4,54.993535438,0.108496145,0.1276958,0.633962264,0.620689655
4.73653E-4,55.040900694,0.109075721,0.127412032,0.633962264,0.620689655
4.76274E-4,55.421516392,0.109613327,0.125141884,0.633962264,0.620689655
4.83863E-4,55.517530144,0.11116567,0.124574347,0.633962264,0.620689655
4.89247E-4,55.761299622,0.112263833,0.123155505,0.633962264,0.620689655
4.95947E-4,56.00763093,0.113626497,0.121736663,0.641509434,0.620689655
4.96049E-4,56.354804125,0.113647115,0.119750284,0.641509434,0.620689655
5.01645E-4,56.50527459,0.114782011,0.118898978,0.641509434,0.620689655
5.08924E-4,56.808252324,0.116253921,0.117196368,0.649056604,0.620689655
5.08936E-4,57.11360778,0.116256383,0.115493757,0.649056604,0.620689655
5.11845E-4,57.317473089,0.116843324,0.114358683,0.649056604,0.620689655
5.18994E-4,57.524316853,0.118282185,0.11322361,0.649056604,0.620689655
5.24285E-4,57.784836361,0.119344158,0.111804767,0.649056604,0.620689655
5.25648E-4,58.047494699,0.119617335,0.110385925,0.649056604,0.620689655
5.36382E-4,58.901617447,0.121762558,0.10584563,0.656603774,0.620689655
5.39368E-4,59.009436094,0.122357428,0.105278093,0.656603774,0.620689655
5.39368E-4,60.088172276,0.122357428,0.099318956,0.656603774,0.620689655
5.41226E-4,60.250449351,0.122727227,0.098751419,0.660377358,0.620689655
5.42063E-4,61.008498943,0.122893658,0.094778661,0.660377358,0.620689655
5.49347E-4,61.336827645,0.124339799,0.09307605,0.660377358,0.620689655
5.6322E-4,61.504467878,0.12708073,0.092224745,0.664150943,0.620689655
5.78844E-4,62.079096897,0.130147234,0.08938706,0.667924528,0.620689655
5.8146E-4,62.253328042,0.130658595,0.088535755,0.667924528,0.620689655
5.99946E-4,62.548137396,0.13425472,0.087116913,0.675471698,0.620689655
6.0702E-4,62.849841369,0.135623015,0.08569807,0.679245283,0.620689655
6.09443E-4,63.642117193,0.136090744,0.081725312,0.683018868,0.620689655
6.19868E-4,63.765545937,0.138097204,0.081441544,0.698113208,0.620689655
6.25192E-4,64.014025537,0.139118334,0.08030647,0.698113208,0.620689655
6.27866E-4,64.516054703,0.139630209,0.078036322,0.698113208,0.620689655
6.32199E-4,64.955994099,0.140458542,0.076049943,0.698113208,0.620689655
6.35225E-4,65.019516607,0.141036008,0.075766175,0.698113208,0.620689655
6.37194E-4,65.273975575,0.141411317,0.074631101,0.698113208,0.620689655
6.39752E-4,65.975144636,0.141898434,0.071509648,0.698113208,0.620689655
6.40201E-4,66.039164725,0.141983905,0.07122588,0.698113208,0.620689655
6.45548E-4,66.425064334,0.143000263,0.069523269,0.698113208,0.620689655
6.45715E-4,66.554191107,0.143032003,0.068955732,0.698113208,0.620689655
6.66451E-4,66.884784922,0.146950234,0.06753689,0.701886792,0.620689655
6.72091E-4,67.018768715,0.14800977,0.066969353,0.705660377,0.620689655
6.89797E-4,67.292688881,0.151318913,0.065834279,0.716981132,0.655172414
7.0323E-4,68.898196194,0.153812426,0.059307605,0.716981132,0.655172414
7.0323E-4,69.671749156,0.153812426,0.055902384,0.716981132,0.655172414
7.28798E-4,69.816646263,0.158518222,0.055618615,0.739622642,0.689655172
7.28798E-4,70.764083435,0.158518222,0.051645857,0.739622642,0.689655172
7.37204E-4,72.311670881,0.160053954,0.04568672,0.758490566,0.689655172
7.52123E-4,72.837384514,0.162765885,0.043700341,0.79245283,0.724137931
7.56069E-4,73.895881364,0.163480203,0.039727582,0.796226415,0.724137931
7.77342E-4,75.33929572,0.167310373,0.03461975,0.826415094,0.724137931
7.94019E-4,75.575051183,0.170288478,0.033768445,0.826415094,0.724137931
