"","Species","Longitude","Latitude"
"342","Pycnopodia helianthoides",-2046813.75811687,-449053.085631813
"343","Pycnopodia helianthoides",-2047379.31556416,-449889.630483257
"344","Pycnopodia helianthoides",-1955178.30469663,-503053.070700534
"345","Pycnopodia helianthoides",-2067263.63927784,-437066.755882822
"346","Pycnopodia helianthoides",-2058684.69969308,-441593.993637195
"347","Pycnopodia helianthoides",-1909560.63007721,-537125.891441685
"348","Pycnopodia helianthoides",-1955178.30469663,-503053.070700534
"349","Pycnopodia helianthoides",-1957057.35361838,-499903.715027117
"350","Pycnopodia helianthoides",-1953881.28124503,-503577.464924243
"351","Pycnopodia helianthoides",-1956978.06493765,-501530.392983652
"352","Pycnopodia helianthoides",-2030558.8684514,-451494.715491132
"353","Pycnopodia helianthoides",-2062698.16108348,-438337.998921906
"354","Pycnopodia helianthoides",-2067263.63927784,-437066.755882822
"355","Pycnopodia helianthoides",-2061907.54424558,-396482.855190189
"356","Pycnopodia helianthoides",-2068579.29598708,-392495.685608137
"357","Pycnopodia helianthoides",-2096693.77962266,-447961.057807012
"358","Pycnopodia helianthoides",-1955178.30469663,-503053.070700534
"359","Pycnopodia helianthoides",-2271782.18438514,2474329.33182284
"360","Pycnopodia helianthoides",-2290118.75396831,2514027.94765933
"361","Pycnopodia helianthoides",-2302163.57175922,2387899.93518612
"362","Pycnopodia helianthoides",-2310985.03321987,2669202.86969319
"363","Pycnopodia helianthoides",-2241271.60011936,2282620.54279437
"364","Pycnopodia helianthoides",-2252365.53035871,2255821.61943052
"365","Pycnopodia helianthoides",-2163900.88669638,2583767.96671669
"366","Pycnopodia helianthoides",-2230692.54923574,2633241.01724216
"367","Pycnopodia helianthoides",-2265869.92534201,2474034.16383583
"368","Pycnopodia helianthoides",-1935742.79636159,1486676.13437603
"369","Pycnopodia helianthoides",-1870707.08627944,1422148.68572237
"370","Pycnopodia helianthoides",-1858082.93448832,1149624.91168631
"371","Pycnopodia helianthoides",-1880158.73977828,1276153.70875461
"372","Pycnopodia helianthoides",-1858004.77571465,1264155.47776595
"373","Pycnopodia helianthoides",-1857378.17431008,1148605.48869686
"374","Pycnopodia helianthoides",-1857803.76619267,1149490.76641297
"375","Pycnopodia helianthoides",-1858668.28872272,1157095.64562396
"376","Pycnopodia helianthoides",-1857566.19346035,1149366.12302073
"377","Pycnopodia helianthoides",-1886118.90447924,1294001.17206328
"378","Pycnopodia helianthoides",-1857330.38465376,1148617.53592276
"379","Pycnopodia helianthoides",-1857330.38465376,1148617.53592276
"380","Pycnopodia helianthoides",-1857330.38465376,1148617.53592276
"381","Pycnopodia helianthoides",-1857330.38465376,1148617.53592276
"382","Pycnopodia helianthoides",-1857330.38465376,1148617.53592276
"383","Pycnopodia helianthoides",-1857330.38465376,1148617.53592276
"384","Pycnopodia helianthoides",-1857330.38465376,1148617.53592276
"385","Pycnopodia helianthoides",-1857330.38465376,1148617.53592276
"386","Pycnopodia helianthoides",-1850101.94405141,1147858.32205444
"387","Pycnopodia helianthoides",-1839357.8815987,1254534.31483155
"388","Pycnopodia helianthoides",-1889119.51172758,1417010.35251328
"389","Pycnopodia helianthoides",-1853204.83413556,1131928.16451842
"390","Pycnopodia helianthoides",-1849652.23141834,1152813.31750024
"391","Pycnopodia helianthoides",-1875633.4046238,1301991.14318324
"392","Pycnopodia helianthoides",-1862802.77120817,1128259.6293789
"393","Pycnopodia helianthoides",-1862802.5085807,1128363.85736753
"394","Pycnopodia helianthoides",-1862802.5085807,1128363.85736753
"395","Pycnopodia helianthoides",-1862765.80682027,1128595.06357209
"396","Pycnopodia helianthoides",-1862774.62150694,1128615.99954168
"397","Pycnopodia helianthoides",-1862823.94949148,1128237.48335703
"398","Pycnopodia helianthoides",-1862894.72032772,1128274.97145784
"399","Pycnopodia helianthoides",-1858334.31553261,1275628.61932423
"400","Pycnopodia helianthoides",-1868293.37035055,1274567.58392685
"401","Pycnopodia helianthoides",-1819288.88983738,1372619.19701947
"402","Pycnopodia helianthoides",-1881411.27134188,1337656.58479144
"403","Pycnopodia helianthoides",-1880691.02028119,1341411.08754542
"404","Pycnopodia helianthoides",-1879309.39485683,1331474.72840018
"405","Pycnopodia helianthoides",-1880312.96408924,1339781.29256047
"406","Pycnopodia helianthoides",-1881269.2081217,1336997.55908811
"407","Pycnopodia helianthoides",-1879819.39611996,1339838.6042071
"408","Pycnopodia helianthoides",-1879819.39611996,1339838.6042071
"409","Pycnopodia helianthoides",-1881269.2081217,1336997.55908811
"410","Pycnopodia helianthoides",-1880312.96408924,1339781.29256047
"411","Pycnopodia helianthoides",-1888206.21583489,1333141.68442222
"412","Pycnopodia helianthoides",-1884712.75390681,1355065.21702912
"413","Pycnopodia helianthoides",-1865605.35519154,1318011.30969726
"414","Pycnopodia helianthoides",-1867490.32755669,1316115.05216468
"415","Pycnopodia helianthoides",-1866981.04463836,1317760.91918776
"416","Pycnopodia helianthoides",-1880691.02028119,1341411.08754542
"417","Pycnopodia helianthoides",-1887970.93788889,1344330.96548514
"418","Pycnopodia helianthoides",-1888206.21583489,1333141.68442222
"419","Pycnopodia helianthoides",-1881269.2081217,1336997.55908811
"420","Pycnopodia helianthoides",-1880312.96408924,1339781.29256047
"421","Pycnopodia helianthoides",-1888206.21583489,1333141.68442222
"422","Pycnopodia helianthoides",-1880975.62684901,1340388.67027049
